modulation,symbol_rate,ecc,interleaving_depth,median_raw_ber,median_post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_rate,hits_real_lm_threshold,eligible_recommendation
8PSK,4800,rep5,1,1.8464e-04,2.0307e-08,2880.0,0.648,0.925,True,False
8PSK,4800,rep5,4,1.9267e-04,5.3341e-09,2880.0,0.648,1.0,True,True
8PSK,4800,rep5,16,1.8962e-04,1.8326e-09,2880.0,0.648,1.0,True,True
8PSK,4800,rep5,64,1.8428e-04,4.8632e-10,2880.0,0.648,1.0,True,True
8PSK,7200,none,1,1.8695e-04,6.5174e-07,21600.0,4.86,0.0,True,False
8PSK,7200,none,4,1.9363e-04,4.7547e-07,21600.0,4.86,0.0,True,False
8PSK,7200,none,16,1.9795e-04,2.5438e-07,21600.0,4.86,0.0,True,False
8PSK,7200,none,64,1.8863e-04,1.1329e-07,21600.0,4.86,0.0,True,False
8PSK,7200,hamming74,1,1.8695e-04,5.1471e-08,12342.86,2.777,0.25,True,False
8PSK,7200,hamming74,4,1.9363e-04,1.3891e-08,12342.86,2.777,0.725,True,False
8PSK,7200,hamming74,16,1.9795e-04,4.3354e-09,12342.86,2.777,0.9,True,False
8PSK,7200,hamming74,64,1.8863e-04,1.1343e-09,12342.86,2.777,1.0,True,True
8PSK,7200,rep3,1,1.8695e-04,3.3305e-08,7200.0,1.62,0.55,True,False
8PSK,7200,rep3,4,1.9363e-04,8.9884e-09,7200.0,1.62,0.875,True,False
8PSK,7200,rep3,16,1.9795e-04,2.8052e-09,7200.0,1.62,0.9375,True,False
8PSK,7200,rep3,64,1.8863e-04,7.3394e-10,7200.0,1.62,1.0,True,True
8PSK,7200,rep5,1,1.8695e-04,1.9680e-08,4320.0,0.972,0.825,True,False
8PSK,7200,rep5,4,1.9363e-04,5.3109e-09,4320.0,0.972,0.925,True,False
8PSK,7200,rep5,16,1.9795e-04,1.6574e-09,4320.0,0.972,0.9875,True,True
8PSK,7200,rep5,64,1.8863e-04,4.3358e-10,4320.0,0.972,1.0,True,True
8PSK,9600,none,1,1.9116e-04,1.4661e-06,28800.0,6.48,0.0,True,False
8PSK,9600,none,4,1.9710e-04,1.1747e-06,28800.0,6.48,0.0,True,False
8PSK,9600,none,16,1.8939e-04,5.9892e-07,28800.0,6.48,0.0,True,False
8PSK,9600,none,64,1.8648e-04,2.7711e-07,28800.0,6.48,0.0,True,False
8PSK,9600,hamming74,1,1.9116e-04,5.4861e-08,16457.14,3.703,0.275,True,False
8PSK,9600,hamming74,4,1.9710e-04,1.4804e-08,16457.14,3.703,0.6,True,False
8PSK,9600,hamming74,16,1.8939e-04,4.2276e-09,16457.14,3.703,0.8625,True,False
8PSK,9600,hamming74,64,1.8648e-04,1.1823e-09,16457.14,3.703,0.9125,True,False
8PSK,9600,rep3,1,1.9116e-04,3.5498e-08,9600.0,2.16,0.5,True,False
8PSK,9600,rep3,4,1.9710e-04,9.5781e-09,9600.0,2.16,0.85,True,False
8PSK,9600,rep3,16,1.8939e-04,2.7352e-09,9600.0,2.16,0.9125,True,False
8PSK,9600,rep3,64,1.8648e-04,7.6492e-10,9600.0,2.16,0.975,True,True
8PSK,9600,rep5,1,1.9116e-04,2.0973e-08,5760.0,1.296,0.8125,True,False
8PSK,9600,rep5,4,1.9710e-04,5.6569e-09,5760.0,1.296,0.95,True,True
8PSK,9600,rep5,16,1.8939e-04,1.6148e-09,5760.0,1.296,1.0,True,True
8PSK,9600,rep5,64,1.8648e-04,4.5143e-10,5760.0,1.296,0.9875,True,True
8PSK,12000,none,1,2.1243e-03,1.8660e-03,36000.0,8.1,0.0,False,False
8PSK,12000,none,4,2.0979e-03,1.6357e-03,36000.0,8.1,0.0,False,False
8PSK,12000,none,16,2.0285e-03,8.7795e-04,36000.0,8.1,0.0,False,False
8PSK,12000,none,64,2.0240e-03,4.2683e-04,36000.0,8.1,0.0,False,False
8PSK,12000,hamming74,1,2.1243e-03,1.8005e-05,20571.43,4.629,0.0,False,False
8PSK,12000,hamming74,4,2.0979e-03,1.5292e-05,20571.43,4.629,0.0,False,False
8PSK,12000,hamming74,16,2.0285e-03,8.5324e-06,20571.43,4.629,0.0,True,False
8PSK,12000,hamming74,64,2.0240e-03,4.0442e-06,20571.43,4.629,0.0,True,False
8PSK,12000,rep3,1,2.1243e-03,1.0344e-05,12000.0,2.7,0.0,False,False
8PSK,12000,rep3,4,2.0979e-03,8.7827e-06,12000.0,2.7,0.0,True,False
8PSK,12000,rep3,16,2.0285e-03,4.9000e-06,12000.0,2.7,0.0,True,False
8PSK,12000,rep3,64,2.0240e-03,2.3220e-06,12000.0,2.7,0.0,True,False
8PSK,12000,rep5,1,2.1243e-03,8.3831e-08,7200.0,1.62,0.4,True,False
8PSK,12000,rep5,4,2.0979e-03,6.0228e-08,7200.0,1.62,0.425,True,False
8PSK,12000,rep5,16,2.0285e-03,3.1963e-08,7200.0,1.62,0.5875,True,False
