modulation,symbol_rate,ecc,interleaving_depth,raw_ber,post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_probability_per_side,hits_phase2_ber_target
16QAM,7200,none,64,1.5385e-06,3.4615e-07,28800.0,6.48,0.0,True
16QAM,7200,hamming74,1,1.5385e-06,1.2426e-11,16457.14,3.703,0.999632,True
16QAM,7200,hamming74,16,1.5385e-06,5.5917e-12,16457.14,3.703,0.999834,True
16QAM,7200,hamming74,64,1.5385e-06,2.7958e-12,16457.14,3.703,0.999917,True
16QAM,7200,rep3,1,1.5385e-06,7.1005e-12,9600.0,2.16,0.999877,True
16QAM,7200,rep3,16,1.5385e-06,3.1952e-12,9600.0,2.16,0.999945,True
16QAM,7200,rep3,64,1.5385e-06,1.5976e-12,9600.0,2.16,0.999972,True
16QAM,7200,rep5,1,1.5385e-06,3.6413e-17,5760.0,1.296,1.0,True
16QAM,7200,rep5,16,1.5385e-06,1.6386e-17,5760.0,1.296,1.0,True
16QAM,7200,rep5,64,1.5385e-06,8.1929e-18,5760.0,1.296,1.0,True
16QAM,9600,none,1,3.9305e-06,3.9305e-06,38400.0,8.64,0.0,False
16QAM,9600,none,16,3.9305e-06,1.7687e-06,38400.0,8.64,0.0,True
16QAM,9600,none,64,3.9305e-06,8.8436e-07,38400.0,8.64,0.0,True
16QAM,9600,hamming74,1,3.9305e-06,8.1104e-11,21942.86,4.937,0.996802,True
16QAM,9600,hamming74,16,3.9305e-06,3.6497e-11,21942.86,4.937,0.99856,True
16QAM,9600,hamming74,64,3.9305e-06,1.8248e-11,21942.86,4.937,0.99928,True
16QAM,9600,rep3,1,3.9305e-06,4.6346e-11,12800.0,2.88,0.998933,True
16QAM,9600,rep3,16,3.9305e-06,2.0856e-11,12800.0,2.88,0.99952,True
16QAM,9600,rep3,64,3.9305e-06,1.0428e-11,12800.0,2.88,0.99976,True
16QAM,9600,rep5,1,3.9305e-06,6.0720e-16,7680.0,1.728,1.0,True
16QAM,9600,rep5,16,3.9305e-06,2.7324e-16,7680.0,1.728,1.0,True
16QAM,9600,rep5,64,3.9305e-06,1.3662e-16,7680.0,1.728,1.0,True
16QAM,12000,none,1,9.8377e-04,9.8377e-04,48000.0,10.8,0.0,False
16QAM,12000,none,16,9.8377e-04,4.4269e-04,48000.0,10.8,0.0,False
16QAM,12000,none,64,9.8377e-04,2.2135e-04,48000.0,10.8,0.0,False
16QAM,12000,hamming74,1,9.8377e-04,5.0643e-06,27428.57,6.171,0.0,False
16QAM,12000,hamming74,16,9.8377e-04,2.2789e-06,27428.57,6.171,0.0,True
16QAM,12000,hamming74,64,9.8377e-04,1.1395e-06,27428.57,6.171,0.0,True
16QAM,12000,rep3,1,9.8377e-04,2.9015e-06,16000.0,3.6,0.0,True
16QAM,12000,rep3,16,9.8377e-04,1.3057e-06,16000.0,3.6,0.0,True
16QAM,12000,rep3,64,9.8377e-04,6.5283e-07,16000.0,3.6,0.0,True
16QAM,12000,rep5,1,9.8377e-04,9.5068e-09,9600.0,2.16,0.848507,True
16QAM,12000,rep5,16,9.8377e-04,4.2781e-09,9600.0,2.16,0.928742,True
16QAM,12000,rep5,64,9.8377e-04,2.1390e-09,9600.0,2.16,0.963712,True
